title;description;address;location;postalcode
Απάγγειο;Απάγγειο;Grigoriou Lampraki 238;Θεσσαλονίκη;54352
Απυραμώρια;Απυραμώρια;Vasileos Irakleiou 31-39;Θεσσαλονίκη;54624
ΣτοΑ;ΣτοΑ;Vasileos Irakleiou 31-39;Θεσσαλονίκη;54624
Δωμάτιο με Θεα;Δωμάτιο με Θεα;Platia Aristotelous 10;Θεσσαλονίκη;54623
Βαβυλώνα;Βαβυλώνα;Apostolou Pavlou 5;Θεσσαλονίκη;54634
Πανδαιμόνιο;Πανδαιμόνιο;Konstantinou Melenikou 21-37;Θεσσαλονίκη;54635
Μανιφέστο;Μανιφέστο;Dimitriou Gounari 55;Θεσσαλονίκη;54635
enola;enola;Valaoritou 15-21;Θεσσαλονίκη;
Κουρδιστό Πορτοκάλι;Κουρδιστό Πορτοκάλι;Klisouras 1-13;Θεσσαλονίκη;54631
Σκνίπα;Σκνίπα;Valaoritou 23-27;Θεσσαλονίκη;54625
Queen;Queen;Koromila 2-4;Θεσσαλονίκη;54645
Captain Morgan;Captain Morgan;Konstantinou Karamanli;Θεσσαλονίκη;56334
The Bar;The Bar;Nikiforou Foka 19;Θεσσαλονίκη;54621
Pussycat Bar;Pussycat Bar;Egiptou 6-24;Θεσσαλονίκη;54625
Bar 16;Bar 16;Kanari;Θεσσαλονίκη;56430
